Toll Plaza Name,Latitude,Longitude
Baros,4.284732399999999,73.42723848863355
Belgada,28.9286167,80.9084981
Bharatkund,26.6357947,82.1267065
Bhojpur,25.4501182,84.56351928394406
Bhuni,29.133364,77.5686916
Brijghat,23.7071303,90.4009237
Chapwa,-9.2810415,32.8061245
Chaukadi,24.67067045,75.248941557659
Daffi,52.426252250000005,16.795951115800776
Dularpur,26.2265309,86.0258463
Faridpur,28.2083265,79.5375964
Handia,48.4845157,6.113035
Harro,25.1305724,121.7412138
Jindpur,26.3168248,77.8640771
Jiwana,-17.1772055,-69.8833761
Jorwara,25.2467108,81.2702894
Joya,25.164542949999998,87.70800118206046
Kaithi,24.33885445,80.17948467511859
Kashi,25.3356491,83.0076292
Katoghan,25.7307833,81.1624121
Khanna,30.700625,76.2220763
Kunwarpur,24.1134142,79.67615600007183
Kurana,23.32926705,77.32401550314877
Lalanagar,22.65778255,91.62957605
Luhari,23.60083625,75.09974385522077
Madrak,27.794945,78.0895959
Maigalganj,27.7175858,80.3437067
Mungari,-30.8605367,121.2916932
Nawabganj,26.92313685,81.20825583419168
Nawabganj,26.92313685,81.20825583419168
Niyamatpur Ekrotiya,28.814263,78.90226290850939
Nuruddinpur,23.8543692,89.5317957
Pidhi,42.361082,19.8235285
Plaza 1,24.2220772,54.68563528361278
Plaza 2,18.389921,-66.0500085
Raibha,27.18132,77.8204429
Rampura,23.4555306,77.94681643162897
Sabli,30.32501,78.39432
Salemgarh,29.5438922,74.46247
Sarai Sundar,31.2493462,73.988601
Semri,25.1942909,78.10227234389113
Shahabpur,31.3911633,74.9290918
Soraon,25.618904399999998,81.7910412794796
Srinagar,34.0747444,74.8204443
Tundla,27.2132859,78.2371117
Umapur,21.1100048,76.47389781006963
Banushi,42.4383048901815,20.275308499149837
Bhagwanpur,25.850370050000002,85.28578456099353
Chhapar,29.5719268,77.7702856
Deoria,26.423991100000002,83.7638577758042
Jagatpur Patti,31.2568719,74.6230467
Koyla,24.2031523,75.27150550609701
Puraini,25.59357,86.98674126165955
Sarsawa,30.0175194,77.4039793
Dankuni,22.6820899,88.2907444
Debra,22.4392393,87.59151087888048
Guabari,26.431390899999997,90.02349410622978
Kalapathar,22.673248,85.9596789
Palsit,23.1963766,88.0031395
Rajchandrapur  (Howrah),22.6529137,88.3213135
Rangalibazna,26.685248,89.193464
Satbhaiya,27.0924702,85.6945724
Surjapur,22.3070971,88.4645283
